index,inchikey,standard_smiles,scaffold,xhash,group_size
906,WMNVNRZPBVAORA-UHFFFAOYSA-N,Cc1cccc(NC(=O)N(CCC(C)C)Cc2ccc(-c3[nH]nc4c3Cc3cc(CN5CCN(C)CC5)ccc3-4)s2)c1,O=C(NCc1ccc(-c2[nH]nc3c2Cc2cc(CN4CCNCC4)ccc2-3)s1)Nc1ccccc1,67dae02e181b036cd69114f53a451e79319e355e,1
907,WNCIGYGDLJLOAQ-UHFFFAOYSA-N,C=c1c(CCC(=O)O)c[nH]c1=Cc1c(O)[nH]c2ccccc12,C=c1cc[nH]c1=Cc1c[nH]c2ccccc12,839477242e8043885ee9eb0150b1981578539bc9,1
908,WNCWRTNLJJFNED-UHFFFAOYSA-N,C=c1cc(C(=O)NCCN2CCOCC2)[nH]c1=Cc1c(O)n(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c12,C=c1cc(C(=O)NCCN2CCOCC2)[nH]c1=Cc1c[nH]c2ncnc(Nc3ccccc3)c12,d3a03849f67da1a8e472a23b23ea69eaf777b41c,1
909,WNWMNXLHKCHCBW-UHFFFAOYSA-N,Cc1cccc(Nc2nnc(-c3c(NCc4ccncc4)ncn3C)o2)c1,c1ccc(Nc2nnc(-c3[nH]cnc3NCc3ccncc3)o2)cc1,0c72497fd1c67c207093aa2df7d78e6939021be0,1
910,WOINYYVWAXSXMQ-UHFFFAOYSA-N,Nc1[nH]nc2cccc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,O=C(Nc1ccccc1)Nc1ccc(-c2cccc3n[nH]cc23)cc1,12926a0b295ee18c8d3c55b60d843a167ce0b357,1
911,WOSBEBRTYHKLTR-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,c1ccc(Nc2ncnc3cc(OCCN4CCOCC4)ccc23)cc1,55113b23e238521e4c68a9d2bdd2a95d58009a63,1
912,WPCUQWCGLJALCN-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,3c6223d4e89a276b46dcdc437f92e64ad5f94c24,1
913,WPGZZMRHHXVHEX-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1Oc1ncccc1-c1ccncn1,O=C(Nc1ccccc1)c1cccc(Oc2ncccc2-c2ccncn2)c1,923ee2eb82e6f7acf3c26a9397abcc76e09b038f,1
914,WPOXAFXHRJYEIC-UHFFFAOYSA-N,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,b720e14931abb9c05a398a66f9c15f22300588fb,1
915,WPPDVRZORMAVOK-UHFFFAOYSA-N,Nc1ncnc2snc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,O=C(Nc1ccccc1)Nc1ccc(-c2nsc3ncncc23)cc1,88b0f68f92198b094085a23f826eef8a8991bf4a,1
916,WPYRVVJBAXEONQ-UHFFFAOYSA-N,CCC(CC)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,O=C1NCc2c1c1c(c3[nH]c4ccccc4c23)Cc2ccccc2-1,8555e0bb8f43eb20099250af95fd5ecbfa59ca7c,1
917,WQTAQMLQEQKKFT-UHFFFAOYSA-N,N#Cc1cnc(Nc2ccc(CCN3CCCC3)cc2)nc1-c1ccccc1,c1ccc(-c2ccnc(Nc3ccc(CCN4CCCC4)cc3)n2)cc1,acb288cb3d9589a3ce379131d52c79abe628379d,1
918,WTELJZVTIRTWRA-UHFFFAOYSA-N,CC(C)n1cc(-c2ccc(Oc3ccc(C(=O)O)cc3)cc2)c2c(N)ncnc21,c1ccc(Oc2ccc(-c3c[nH]c4ncncc34)cc2)cc1,550399f9622aada39bc13b0b19ce5ac1eb36e6bf,1
919,WTKCXIAUFZSYSE-UHFFFAOYSA-N,COc1cc2ncnc(Nc3ccc(F)cc3F)c2cc1OC,c1ccc(Nc2ncnc3ccccc23)cc1,8e944695ad253ca13a95ac758821a1efea256c05,1
920,WTSNQZLKTLSHSD-UHFFFAOYSA-N,OCc1cccc(Nc2ncc(-c3ccccc3)o2)c1,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,9d3a68add02b5511b24b1f00ba8df6bc91f9d485,1
921,WUAWDHDGRGQQSS-UHFFFAOYSA-N,N#Cc1cnc(Nc2cc(CN3CCN(C(=O)CO)CC3)ccn2)s1,c1cc(CN2CCNCC2)cc(Nc2nccs2)n1,bf28c83710e6ab685e371579983393cf2cd35dbe,1
922,WUEVFQBRVSPKLA-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(F)cc(F)c4)cc3)c2cc1OC,O=C(Nc1ccccc1)Nc1ccc(Oc2ccnc3ccccc23)cc1,b0e5cfab4376d1a6fd95b4b9bdd95fbc9e98ebd8,1
923,WUFLMFMMXOYRBU-UHFFFAOYSA-N,COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)ccc2n1C,O=C(Nc1ccccc1)Nc1ccc(Oc2ccc3[nH]cnc3c2)cc1,48b7824b659a2c0999fb53a3be8cb2966126b516,1
924,WUUXQSKAAWHECK-UHFFFAOYSA-N,CN1CCN(Cc2ccc(NC(=O)Nc3ccc(N(C)c4ccnc(Nc5ccc(CS(C)(=O)=O)cc5)n4)cc3)cc2)CC1,O=C(Nc1ccc(CN2CCNCC2)cc1)Nc1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,5c3bbcc0a0e94d519117190cad170b52490fd2a7,1
925,WVBVFBWFVVPNPZ-UHFFFAOYSA-N,CNC(=O)N1CCN(Cc2ccnc(Nc3ncc(C#N)s3)c2C)CC1,c1cc(CN2CCNCC2)cc(Nc2nccs2)n1,0417e10b489d80454fe2fb2e8c234c119a0b4242,1
926,WXYYRQNZFXOQGI-UHFFFAOYSA-N,O=C(Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4cccnc4)nc3c2)cc1)Nc1cc(C(F)(F)F)ccc1F,O=C(Nc1ccccc1)Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4cccnc4)nc3c2)cc1,09b3ee374a2386c94d1bc4130c74e569cc17cab4,1
927,WYSIIHBXZUVHPY-UHFFFAOYSA-N,CN1CCN(CC(=O)Nc2nc3cc(Oc4ccc(NC(=O)Nc5cc(C(F)(F)F)ccc5F)cc4)ccc3[nH]2)CC1,O=C(CN1CCNCC1)Nc1nc2cc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)ccc2[nH]1,40b283bbd1999d045ef1b9f06feef4a14e1b5e56,1
928,WZNOXZQMWMMJMJ-UHFFFAOYSA-N,Brc1cnc(Nc2ccccn2)s1,c1ccc(Nc2nccs2)nc1,f42e352e161d1b646f9f04434d2188f1c71b0589,1
929,WZYUGRHDRYZNJG-UHFFFAOYSA-N,CC(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3ncnc-3c2)cc1,O=C(Nc1ccccc1)c1ccccc1Cn1ccc2ncnc-2c1,3c7c6490757a3110349d5374de4582f1e5adbd2d,1
930,XAUJPUSQPFKXTF-UHFFFAOYSA-N,Cc1cccc(NC(=O)NCc2cc(-c3[nH]nc4c3Cc3cc(CN5CCN(C)CC5)ccc3-4)cs2)c1,O=C(NCc1cc(-c2[nH]nc3c2Cc2cc(CN4CCNCC4)ccc2-3)cs1)Nc1ccccc1,b680b213ea3939a36cffa2b826951c5f5200d544,1
931,XBTDIGWGOZVBHQ-UHFFFAOYSA-N,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,c1ccc(Oc2ccc(-c3cn(C4CCCC4)c4ncncc34)cc2)cc1,f55dced85f432872dd0dfc3f2288a926b633d98a,1
932,XCVVKLXLFZTEAQ-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccccc1Cn1ccc2cnccc21,O=C(Nc1ccccc1)c1ccccc1Cn1ccc2cnccc21,2322fc88eb6931b561e2ccba449ea1209ce64fe3,1
933,XCXYBIJJLUQMMT-UHFFFAOYSA-N,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4cscn4)n[nH]c2-3)CC1,c1nc(-c2n[nH]c3c2Cc2cc(CN4CCNCC4)ccc2-3)cs1,7149140d7952406935edeee0e12c8449c8a554a6,1
934,XDGHTBHPIPZHLJ-UHFFFAOYSA-N,CNc1ncc2cc(-c3cc(Nc4nc5cc(C(F)(F)F)ccc5[nH]4)ccc3C)ccc2n1,c1cc(Nc2nc3ccccc3[nH]2)cc(-c2ccc3ncncc3c2)c1,3d8f62b786784281257d88849d59cf8d89d09150,1
935,XDGUQWMBCHDRBW-UHFFFAOYSA-N,CCc1cccc(NC(=O)Nc2ccc(-c3noc4ncnc(N)c34)cc2)c1,O=C(Nc1ccccc1)Nc1ccc(-c2noc3ncncc23)cc1,0f88704f75015512f8ef42bf42fc3f53cdce8137,1
936,XDYCIZMIODKDCK-UHFFFAOYSA-N,CC(=O)N1CCN(Cc2ccnc(Nc3ncc(C#N)s3)c2)CC1,c1cc(CN2CCNCC2)cc(Nc2nccs2)n1,c5710721b51742e5fa648ac7558f0b7e85df14fe,1
937,XEPZXGOISJEFCH-UHFFFAOYSA-N,C=c1cc(C(=O)N2CCOCC2)[nH]c1=Cc1c(O)[nH]c2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c12,C=c1cc(C(=O)N2CCOCC2)[nH]c1=Cc1c[nH]c2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c12,df695822cb25a98ea8fa03b9fd2d4c695dea9bcc,1
938,XFNPTRGLLWINBG-UHFFFAOYSA-N,Cc1ccccc1NC(=O)Nc1ccc(-c2c(C)sc3ncnc(N)c23)cc1,O=C(Nc1ccccc1)Nc1ccc(-c2csc3ncncc23)cc1,91a889c52f96baa6ba5fcad2e86c284337afdc26,1
939,XFQUONHNHIKJMT-UHFFFAOYSA-N,COc1ccc2c(C=c3[nH]c4c(c3=CCC(=O)O)CCCC4)c(O)[nH]c2c1,C=c1c2c([nH]c1=Cc1c[nH]c3ccccc13)CCCC2,96b7861669734dd604878ba55085892a1c69b063,1
940,XGJGNIZVSIGIJT-UHFFFAOYSA-N,CN(c1ccc(NC(=O)Cc2ccccc2)cc1)c1ccnc(Nc2cccc(CS(C)(=O)=O)c2)n1,O=C(Cc1ccccc1)Nc1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,07f1d6a07357993f391c455659947a5554d94806,1
941,XHFCQCVALWJYOX-UHFFFAOYSA-N,CC(C)(N)c1ccc(-c2nc(Nc3ccc(OCCN4CCOCC4)cc3)ncc2C#N)cc1,c1ccc(-c2ccnc(Nc3ccc(OCCN4CCOCC4)cc3)n2)cc1,3f4e22c859548242018539ee41a38aef4fa83452,1
942,XHVWMSLIMAFTPQ-UHFFFAOYSA-N,O=C1OCC=c2c1c[nH]c2=Cc1c(O)[nH]c2cc(-c3ccccc3)ccc12,O=C1OCC=c2c1c[nH]c2=Cc1c[nH]c2cc(-c3ccccc3)ccc12,13951c427afa4fe5fe74caeed7f730a3f4622eea,1
943,XHXOJKOXEKXDSQ-UHFFFAOYSA-N,COc1cc2ncnc(Nc3cc(O)c(C)cc3F)c2cc1OC,c1ccc(Nc2ncnc3ccccc23)cc1,d5fb52c9188462d1d4f3a8225be4e8fb3a207c17,1
